KEGG,Human Metabolome Database,InChIKey,Score
"C01346","HMDB0001000","QHWZTVCCBMIIKE-SHYZEUOFSA-N","1"
"C00460","HMDB0001191","AHCYMLUZIRLXAA-SHYZEUOFSA-N","1"
"C00364","HMDB0001227","GYOZYWVXFNDGLU-XLPZGREQSA-N","1"
"C00363","HMDB0001274","UJLXYODCHAELLY-XLPZGREQSA-N","1"
"C00459","HMDB0001342","NHVNXKFIZYSCEB-XLPZGREQSA-N","1"
"C00239","HMDB0001202","NCMVOABPESMRCP-SHYZEUOFSA-N","1"
"C00705","HMDB0001245","FTDHDKPUHBLBTL-SHYZEUOFSA-N","1"
"C00458","HMDB0000998","RGWHQCVHVJXOKC-SHYZEUOFSA-N","1"
"C00575","HMDB0000058","IVOMOUWHDPKRLL-KQYNXXCUSA-N","1"
"C00942","HMDB0001314","ZOOGRGPOEVQQDX-UUOKFMHZSA-N","1"
"C00943","No result","DMJWGQPYNRPLGA-KQYNXXCUSA-N","1"
"C00968","No result","MKMZAENVDZADSW-RRKCRQDMSA-N","1"
"C02507","No result","YAUQFBMBBHFWIR-KVQBGUIXSA-N","1"
"C00941","No result","WCPTXJJVVDAEMW-XVFCMESISA-N","1"
"C02353","No result","KMYWVDDIPVNLME-KQYNXXCUSA-N","1"
"C06194","HMDB0011629","UASRYODFRYWBRC-UUOKFMHZSA-N","1"
"C02354","No result","NMPZCCZXCOMSDQ-XVFCMESISA-N","1"
"C02355","HMDB0011640","HWDMHJDYMFRXOX-XVFCMESISA-N","1"
"C01262","HMDB0000194","MYYIAHXIVFADCU-QMMMGPOBSA-N","1"
"C00386","HMDB0000033","CQOVPNPJLQNMDC-ZETCQYMHSA-N","1"
"C00993","No result","DEFJQIDDEAULHB-SYPWQXSBSA-N","1"
"C00037","HMDB0000123","DHMQDGOQFOQNFH-UHFFFAOYSA-N","1"
"C00041","HMDB0000161","QNAYBMKLOCPYGJ-REOHCLBHSA-N","1"
"C00183","HMDB0000883","KZSNJWFQEVHDMF-BYPYZUCNSA-N","1"
"C00123","HMDB0000687
HMDB0062203","ROHFNLRQFUQHCH-YFKPBYRVSA-N","1"
"C00407","HMDB0000172
HMDB0033923","AGPKZVBTJJNPAG-WHFBIAKZSA-N","1"
"C00049","HMDB0000191","CKLJMWTZIZZHCS-REOHCLBHSA-N","1"
"C00152","HMDB0000168","DCXYFEDJOCDNAF-REOHCLBHSA-N","1"
"C00025","HMDB0000148","WHUUTDBJXJRKMK-VKHMYHEASA-N","1"
"C00064","HMDB0000641","ZDXPYRJPNDTMRX-VKHMYHEASA-N","1"
"C00065","HMDB0000187
HMDB0062263","MTCFGRXMJLQNBG-REOHCLBHSA-N","1"
"C00188","HMDB0000167","AYFVYJQAPQTCCC-GBXIJSLDSA-N","1"
"C00073","HMDB0000696","FFEARJCKVFRZRR-BYPYZUCNSA-N","1"
"C00097","HMDB0000574","XUJNEKJLAYXESH-REOHCLBHSA-N","1"
"C00047","HMDB0000182","KDXKERNSBIXSRK-YFKPBYRVSA-N","1"
"C00062","HMDB0000517","ODKSFYDXXFIFQN-BYPYZUCNSA-N","1"
"C00135","HMDB0000177","HNDVDQJCIGZPNO-YFKPBYRVSA-N","1"
"C00148","HMDB0000162","ONIBWKKTOPOVIA-BYPYZUCNSA-N","1"
"C00079","HMDB0000159","COLNVLDHVKWLRT-QMMMGPOBSA-N","1"
"C00082","HMDB0000158","OUYCCCASQSFEME-QMMMGPOBSA-N","1"
"C00078","HMDB0000929","QIVBCDIJIAJPQS-VIFPVBQESA-N","1"
"C05688","HMDB0003288","ZKZBPNGNEQAJSX-REOHCLBHSA-N","1"
"C16138","No result","ZFOMKMMPBOQKMC-KXUCPTDWSA-N","1"
"C00077","HMDB0000214","AHLPHDHHMVZTML-BYPYZUCNSA-N","1"
"C00155","No result","FFFHZYDWPBMWHY-VKHMYHEASA-N","1"
"C00263","HMDB0000719","UKAUYVFTDYCKQA-VKHMYHEASA-N","1"
"C00327","HMDB0000904","RHGKLRLOHDJJDR-BYPYZUCNSA-N","1"
"C00606","HMDB0060179","ADVPTQAUNPRNPO-REOHCLBHSA-N","1"
"C03406","HMDB0000052","KDZOASGQNOPSCU-WDSKDSINSA-N","1"
"C00355","HMDB0000181","WTDRDQBEARUVNC-LURJTMIESA-N","1"
"C02515","HMDB0000021","UQTZMGFTRHFAAM-ZETCQYMHSA-N","1"
"C01060","HMDB0003474","NYPYHUZRZVSYKL-ZETCQYMHSA-N","1"
"C02465","HMDB0000265","AUYYCJSJGJYCDS-LBPRGKRZSA-N","1"
"C01829","HMDB0000248","XUIIKFGFIJCVMT-LBPRGKRZSA-N","1"
"C00099","HMDB0000056","UCMIRNVEIXFBKS-UHFFFAOYSA-N","1"
"C00334","HMDB0000112","BTCSSZJGUNDROE-UHFFFAOYSA-N","1"
"C05145","HMDB0003911","QCHPKSFMDHPSNR-UHFFFAOYSA-N","1"
"C00133","HMDB0001310","QNAYBMKLOCPYGJ-UWTATZPHSA-N","1"
"C06417","No result","KZSNJWFQEVHDMF-SCSAIBSYSA-N","1"
"C01570","HMDB0013773","ROHFNLRQFUQHCH-RXMQYKEDSA-N","1"
"C06418","No result","AGPKZVBTJJNPAG-RFZPGFLSSA-N","1"
"C00402","HMDB0006483","CKLJMWTZIZZHCS-UWTATZPHSA-N","1"
"C01905","HMDB0033780","DCXYFEDJOCDNAF-UWTATZPHSA-N","1"
"C00217","HMDB0003339","WHUUTDBJXJRKMK-GSVOUGTGSA-N","1"
"C00819","HMDB0003423","ZDXPYRJPNDTMRX-GSVOUGTGSA-N","1"
"C00740","HMDB0003406","MTCFGRXMJLQNBG-UWTATZPHSA-N","1"
"C00820","No result","AYFVYJQAPQTCCC-STHAYSLISA-N","1"
"C00855","No result","FFEARJCKVFRZRR-SCSAIBSYSA-N","1"
"C00793","HMDB0003417","XUJNEKJLAYXESH-UWTATZPHSA-N","1"
"C00739","HMDB0003405","KDXKERNSBIXSRK-RXMQYKEDSA-N","1"
"C00792","HMDB0003416","ODKSFYDXXFIFQN-SCSAIBSYSA-N","1"
