PLATE,NROW,NCOL,CNAME,SMILES,FORMULA,MW (as put into the well),Formula (as seen in MS),Neutral mass,M+H,M-H,CHARGE,PARENT_CID(KEGG),CAS,CHEBI,HMDB,PC_CID,PC_SID,METLIN_ID
6,C,1,N-ACETYL-L-LEUCINE,O=C(N[C@H](C(=O)O)CC(C)C)C,C8H15NO3,173.10519,C8H15NO3,173.10519,174.11299,172.09739,,C02710,1188-21-2,17786,HMDB11756,70912,5673,43866
6,C,2,"2',4'-DIHYDROXYACETOPHENONE",O=C(c1ccc(O)cc1O)C,C8H8O3,152.04735,C8H8O3,152.04735,153.05515,151.03955,,C03663,89-84-9,18414,,6990,6441,66018
6,C,3,BENZYL ALCOHOL,C1=CC=C(C=C1)CO,C7H8O,108.05752,C7H8O,108.05752,109.06532,107.04972,,C00556,100-51-6,17987,HMDB03119,244,3836,
6,C,4,2-OXOADIPATE,C(CC(=O)C(=O)O)CC(=O)O,C6H8O5,160.03718,C6H8O5,160.03718,161.04498,159.02938,,C00322,3184-35-8,15753,HMDB00225,71,3616,5234
6,C,5,METHYL INDOLE-3-ACETATE,COC(Cc(c[nH]1)c2c1cccc2)=O,C11H11NO2,189.07898,C11H11NO2,189.07898,190.08678,188.07118,,CA1231,1912-33-0,,,74706,,86457
6,C,6,PROPYNOATE,O=C(C#C)O,C3H2O2,70.00548,C3H2O2,70.00548,71.01328,68.99768,,C00804,471-25-0,33199,HMDB06804,10110,4062,4117
6,C,7,3-METHOXY-4-HYDROXYMANDELATE,COC1=C(C=CC(=C1)C(C(=O)O)O)O,C9H10O5,198.05283,C9H10O5,198.05283,199.06063,197.04503,,C05584,55-10-7,20106,HMDB00291,736172,7910,697
6,C,8,HOMOVANILLATE,COC1=C(C=CC(=C1)CC(=O)O)O,C9H10O4,182.05791,C9H10O4,182.05791,183.06571,181.05011,,C05582,306-08-1,545959,HMDB00118,1738,7908,971
6,C,9,4-QUINOLINECARBOXYLIC ACID,O=C(O)c1c2ccccc2ncc1,C10H7NO2,173.04768,C10H7NO2,173.04768,174.05548,172.03988,,C06414,486-74-8,18311,,10243,8649,66397
6,C,10,(S)-1-PHENYLETHANOL,OC(c1ccccc1)C,C8H10O,122.07317,C8H10O,122.07317,123.08097,121.06537,,C07112,1445-91-6,16346,,443135,13523,69009
6,C,11,"1-METHYL-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQUINOLINE",c12c(cc(c(c1)O)O)[C@@H](NCC2)C,C10H13NO2,258.01297,C10H13NO2,179.09464,180.10244,178.08684,,C09642,59709-57-8,,,91588,11832,
6,C,12,SALICYLAMIDE,O=C(c1ccccc1O)N,C7H7NO2,137.04768,C7H7NO2,137.04768,138.05548,136.03988,,CA1193,65-45-2,,,5147,,
6,D,1,3-HYDROXYBENZOATE,C1=CC(=CC(=C1)O)C(=O)O,C7H6O3,138.0317,C7H6O3,138.03170,139.03950,137.02390,,C00587,99-06-9,30764,HMDB02466,7420,3866,6690
6,D,2,4-METHYL-2-OXOVALERIC ACID,O=C(C(=O)O)CC(C)C,C6H10O3,130.06299,C6H10O3,130.06299,131.07079,129.05519,,CA1461,816-66-0,48430,HMDB00695,70,,121
6,D,3,"3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE",[C@H]34[C@H]2[C@@H]([C@@]1([C@@H](C[C@H](O)CC1)CC2)C)[C@@H](O)C[C@@]3([C@](C(CO)=O)(O)CC4)C,C21H34O5,366.24062,C21H34O5,366.24062,367.24842,365.23282,,C05472,302-91-0,28320,,5864,7832,3171
